overal_episode,season_episode,episode_name,airing_date,episode_code,has_line,is_correct,note
97,13,"""Basic Sandwich""","April 17, 2014",511,TRUE,TRUE,
98,1,"""Ladders""","March 17, 2015",602,TRUE,TRUE,
99,2,"""Lawnmower Maintenance and Postnatal Care""","March 17, 2015",601,TRUE,TRUE,
100,3,"""Basic Crisis Room Decorum""","March 24, 2015",605,TRUE,TRUE,
101,4,"""Queer Studies and Advanced Waxing""","March 31, 2015",603,TRUE,TRUE,
102,5,"""Laws of Robotics and Party Rights""","April 7, 2015",604,TRUE,TRUE,
103,6,"""Basic Email Security""","April 14, 2015",606,TRUE,TRUE,
104,7,"""Advanced Safety Features""","April 21, 2015",607,TRUE,TRUE,
105,8,"""Intro to Recycled Cinema""","April 28, 2015",608,TRUE,TRUE,
106,9,"""Grifting 101""","May 5, 2015",609,FALSE,,rag time song
107,10,"""Basic RV Repair and Palmistry""","May 12, 2015",610,TRUE,TRUE,
108,11,"""Modern Espionage""","May 19, 2015",611,FALSE,,spy song
109,12,"""Wedding Videography""","May 26, 2015",612,TRUE,TRUE,
110,13,"""Emotional Consequences of Broadcast Television""","June 2, 2015",613,TRUE,TRUE,
